Date,TCS_NS_AdjClose,TCS_NS_Close,TCS_NS_High,TCS_NS_Low,TCS_NS_Open,TCS_NS_Volume,returns,volatility_30d,momentum_5d,momentum_20d,sma_50,sma_200,sector_ITBEES_NS_AdjClose,sector_ITBEES_NS_Close,macro_NSEI_AdjClose,macro_NSEI_Close,comm_CL_F_AdjClose,comm_CL_F_Close,econ_IND_GDP,econ_IND_CPI,econ_US_RATE,credit_score,avg_sentiment_score
2022-01-03,3604.1376953125,3817.75,3830.0,3745.0,3750.0,2346158.0,0.0175494772311664,0.2253168232317284,0.0162660944438588,-0.002729813308651,3536.720498046875,3249.510540771485,40.0,40.0,17625.69921875,17625.69921875,76.08000183105469,76.08000183105469,6.48422363033757,4.95303550973656,,51.5754062178186,0.0
2022-01-04,3667.388427734375,3884.75,3889.14990234375,3811.699951171875,3831.10009765625,2488606.0,0.0175494772311664,0.2253168232317284,0.0162660944438588,-0.002729813308651,3536.720498046875,3249.510540771485,40.13999938964844,40.13999938964844,17805.25,17805.25,76.98999786376953,76.98999786376953,6.48422363033757,4.95303550973656,,51.565652107194246,0.0
2022-01-05,3644.92041015625,3860.949951171875,3870.0,3812.39990234375,3865.0,1733031.0,-0.0061264352061025,0.2253168232317284,0.0162660944438588,-0.002729813308651,3536.720498046875,3249.510540771485,39.52999877929688,39.52999877929688,17925.25,17925.25,77.8499984741211,77.8499984741211,6.48422363033757,4.95303550973656,,51.36777355727703,0.0
2022-01-06,3594.413818359375,3807.449951171875,3835.0,3772.0,3812.0,1810293.0,-0.0138567063511573,0.2253168232317284,0.0162660944438588,-0.002729813308651,3536.720498046875,3249.510540771485,38.93000030517578,38.93000030517578,17745.900390625,17745.900390625,79.45999908447266,79.45999908447266,6.48422363033757,4.95303550973656,,51.20814961902915,0.0
2022-01-07,3637.886962890625,3853.5,3864.89990234375,3796.39990234375,3820.0,2460591.0,0.0120946409423421,0.2253168232317284,0.0162660944438588,-0.002729813308651,3536.720498046875,3249.510540771485,39.04999923706055,39.04999923706055,17812.69921875,17812.69921875,78.9000015258789,78.9000015258789,6.48422363033757,4.95303550973656,,51.68143174205096,0.0
2022-01-10,3662.762939453125,3879.85009765625,3978.0,3861.0,3978.0,3937092.0,0.0068380290031699,0.2253168232317284,0.0162660944438588,-0.002729813308651,3536.720498046875,3249.510540771485,39.08000183105469,39.08000183105469,18003.30078125,18003.30078125,78.2300033569336,78.2300033569336,6.48422363033757,4.95303550973656,,51.70452484205735,0.0
2022-01-11,3696.795654296875,3915.89990234375,3925.0,3856.0,3856.0,1906106.0,0.0092915417695123,0.2253168232317284,0.0080185742912066,-0.002729813308651,3536.720498046875,3249.510540771485,39.38999938964844,39.38999938964844,18055.75,18055.75,81.22000122070312,81.22000122070312,6.48422363033757,4.95303550973656,,51.28105658656574,0.0
2022-01-12,3643.928955078125,3859.89990234375,3929.0,3836.550048828125,3925.0,3203744.0,-0.0143006820399449,0.2253168232317284,-0.0002720100760944,-0.002729813308651,3536.720498046875,3249.510540771485,39.41999816894531,39.41999816894531,18212.349609375,18212.349609375,82.63999938964844,82.63999938964844,6.48422363033757,4.95303550973656,,51.321139742356,0.0
2022-01-13,3679.802734375,3897.89990234375,3923.0,3857.0,3918.0,6684507.0,0.0098448075522663,0.2253168232317284,0.0237560059388486,-0.002729813308651,3536.720498046875,3249.510540771485,39.470001220703125,39.470001220703125,18257.80078125,18257.80078125,82.12000274658203,82.12000274658203,6.48422363033757,4.95303550973656,,51.725806637345286,0.0
2022-01-14,3746.122314453125,3968.14990234375,3977.0,3860.050048828125,3877.85009765625,3348123.0,0.018022591118431,0.2253168232317284,0.0297522580186211,-0.002729813308651,3536.720498046875,3249.510540771485,39.68999862670898,39.68999862670898,18255.75,18255.75,83.81999969482422,83.81999969482422,6.48422363033757,4.95303550973656,,51.59983311471439,0.0
