date,ticker,avg_sentiment_score
2025-08-15,INFY.NS,0.7568016854960721
2025-08-15,TCS.NS,0.354306771296151
2025-08-17,TCS.NS,0.2911844484770267
2025-08-18,INFY.NS,-0.1267372518402338
2025-08-18,TCS.NS,-0.38038415001593295
2025-08-19,INFY.NS,-0.2432376720848307
2025-08-19,RELIANCE.NS,0.19666514767074147
2025-08-19,TCS.NS,-0.07501273581147197
2025-08-20,RELIANCE.NS,-0.05946729416578331
2025-08-20,TCS.NS,-0.001716991247610584
2025-08-21,INFY.NS,0.42988409310600717
2025-08-21,RELIANCE.NS,0.2919506162534568
2025-08-21,TCS.NS,0.48877364816159147
