Date,Value
1960-01-01,
1961-01-01,3.72274253311053
1962-01-01,2.93112773548363
1963-01-01,5.99435326188559
1964-01-01,7.45295012250209
1965-01-01,-2.63577011020728
1966-01-01,-0.0553287704537979
1967-01-01,7.82596303082235
1968-01-01,3.38792917634143
1969-01-01,6.53970029928357
1970-01-01,5.15722973718955
1971-01-01,1.64293037527582
1972-01-01,-0.553301305344547
1973-01-01,3.29552113471652
1974-01-01,1.18533625466961
1975-01-01,9.14991201570659
1976-01-01,1.66310363813034
1977-01-01,7.25476458760367
1978-01-01,5.71253208869331
1979-01-01,-5.23818270446218
1980-01-01,6.7358215288198
1981-01-01,6.00620362601497
1982-01-01,3.47573323969961
1983-01-01,7.28889290305703
1984-01-01,3.82073785610604
1985-01-01,5.25429922311382
1986-01-01,4.77656416847516
1987-01-01,3.96535563481719
1988-01-01,9.62778291607844
1989-01-01,5.94734333181324
1990-01-01,5.53345456125301
1991-01-01,1.05683143496063
1992-01-01,5.48239602040357
1993-01-01,4.75077621776924
1994-01-01,6.65892407028434
1995-01-01,7.57449183788519
1996-01-01,7.54952224920051
1997-01-01,4.04982084998183
1998-01-01,6.18441582172117
1999-01-01,8.84575555939531
2000-01-01,3.84099115659129
2001-01-01,4.82396626555771
2002-01-01,3.80397532112175
2003-01-01,7.8603814759073
2004-01-01,7.92293661199932
2005-01-01,7.92343062148318
2006-01-01,8.06073257166651
2007-01-01,7.6608150670107
2008-01-01,3.08669805921981
2009-01-01,7.86188883286074
2010-01-01,8.49758470221235
2011-01-01,5.24131619937695
2012-01-01,5.45638755166587
2013-01-01,6.38610640094825
2014-01-01,7.41022760508854
2015-01-01,7.99625378571471
2016-01-01,8.25630550179086
2017-01-01,6.79538341897911
2018-01-01,6.45385134497769
2019-01-01,3.87143694070356
2020-01-01,-5.77772470686801
2021-01-01,9.68959249192875
2022-01-01,7.60936497768895
2023-01-01,9.19075493028345
2024-01-01,6.48422363033757
